city,zipcode,query,location,coords,city_y,state,country
fafe,4820-253,fafe 4820-253,"Fafe, Braga, Portugal","(41.451406, -8.1708502, 0.0)",Fafe,,Portugal
Vila Nova de Famalicão ,4770-481,Vila Nova de Famalicão  4770-481,"Vila Nova de Famalicão, Braga, Portugal","(41.4065175, -8.5187481, 0.0)",Vila Nova de Famalicão,,Portugal
Alvor,8500-021,Alvor 8500-021,"Alvor, Portimão, Faro, Portugal","(37.129109, -8.5929383, 0.0)",,,Portugal
Bristol,BS362HT,Bristol BS362HT,,,,,
Melgaço ,4960540,Melgaço  4960540,"Saída 15 - Valença, Monção, Melgaço, Cristelo Côvo, Valença, Cristelo Covo e Arão, Valença, Viana do Castelo, 4930-632, Portugal","(42.0266716, -8.6488996, 0.0)","Valença, Cristelo Covo e Arão",,Portugal
Penedono,3630-225,Penedono 3630-225,"Penedono, Viseu, Portugal","(40.9899414, -7.3941885, 0.0)",,,Portugal
Águeda ,3750-144,Águeda  3750-144,"Águeda, Aveiro, Portugal","(40.5785006, -8.4438017, 0.0)",Águeda,,Portugal
lisboa,2725-643,lisboa 2725-643,"EM 643, Outeiro da Cabeça, Campelos e Outeiro da Cabeça, Torres Vedras, Lisboa, 2565-591 OUTEIRO DA CABEÇA, Portugal","(39.1918737, -9.1721033, 0.0)",Campelos e Outeiro da Cabeça,,Portugal
tavira,8800-410,tavira 8800-410,"Tavira, Faro, Portugal","(37.1262493, -7.6499121, 0.0)",Tavira,,Portugal
Algés,1495-061,Algés 1495-061,"Algés, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa, 1495, Portugal","(38.7027915, -9.2287735, 0.0)","Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",,Portugal
NAVARRES,46823,NAVARRES 46823,,,,,
Olival Basto,2620-032,Olival Basto 2620-032,"Acesso Olival Basto, Olival Basto, Póvoa de Santo Adrião e Olival Basto, Odivelas, Lisboa, 2620-036, Portugal","(38.7888093, -9.1693783, 0.0)",Póvoa de Santo Adrião e Olival Basto,,Portugal
Valdetorres ,06474,Valdetorres  06474,,,,,
Maia,4470-345,Maia 4470-345,"Cidade da Maia, Maia, Porto, Portugal","(41.232208, -8.6273183, 0.0)",Cidade da Maia,,Portugal
Oiã,3770-059,Oiã 3770-059,"Oiã, Oliveira do Bairro, Aveiro, Portugal","(40.5457687, -8.54097, 0.0)",Oliveira do Bairro,,Portugal
Barcelos,4755-417,Barcelos 4755-417,"Barcelos, Braga, Portugal","(41.5341737, -8.615240356506309, 0.0)",,,Portugal
Maia,4470-224,Maia 4470-224,"Cidade da Maia, Maia, Porto, Portugal","(41.232208, -8.6273183, 0.0)",Cidade da Maia,,Portugal
Odivelas,2620296,Odivelas 2620296,"Odivelas, Lisboa, Portugal","(38.7904338, -9.1792617, 0.0)",Odivelas,,Portugal
Sant Just Desvern,O8960,Sant Just Desvern O8960,,,,,
PORTSMOUTH,PO35FL,PORTSMOUTH PO35FL,,,,,
Madrid,289930,Madrid 289930,"Madrid, El Álamo, Comarca Sur, Comunidad de Madrid, 28607, España","(40.232844, -3.9814541, 0.0)",,Comunidad de Madrid,España
"Telde, Melenara",35214,"Telde, Melenara 35214","Lugar Cruce de Melenara, Cruce de Melenara, Telde, Las Palmas, Canarias, 35215, España","(27.9944587, -15.3913816, 0.0)",,,España
hospitalet del llobregat,08901,hospitalet del llobregat 08901,"726 FGC L'Hospitalet- Av. Carrilet, Avinguda del Carrilet, Centre, Districte I, l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, 08901, España","(41.3578135, 2.1022424, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Lisboa,1170-139,Lisboa 1170-139,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Coimbra,3000-602,Coimbra 3000-602,"Coimbra, Portugal","(40.2111931, -8.4294632, 0.0)",Coimbra,,Portugal
Paredes de coura,4940-133,Paredes de coura 4940-133,"Paredes de Coura, Viana do Castelo, Portugal","(41.913389800000004, -8.56396258432304, 0.0)",,,Portugal
Huelva ,21oo6 ,Huelva  21oo6 ,,,,,
Guia Pombal,3105-089,Guia Pombal 3105-089,"Guia, Pombal, Leiria, 3105-089, Portugal","(39.9468816, -8.7849203, 0.0)",Pombal,,Portugal
Los Rábanos,42191,Los Rábanos 42191,"Los Rábanos, Castilla y León, España","(41.6815006, -2.4215129013732017, 0.0)",Los Rábanos,Castilla y León,España
Malón,50511,Malón 50511,"Malón, Tarazona y el Moncayo, Zaragoza, Aragón, España","(41.9526553, -1.673031, 0.0)",,Aragón,España
Novelada del Guadiana,06183,Novelada del Guadiana 06183,,,,,
Temuco,4780000,Temuco 4780000,,,,,
V. N. Gaia,4415-751 Olival,V. N. Gaia 4415-751 Olival,,,,,
Lisboa,1250-017,Lisboa 1250-017,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Aveiro,3810-106,Aveiro 3810-106,"Aveiro, Portugal","(40.640496, -8.6537841, 0.0)",Aveiro,,Portugal
Cascais ,2750-341,Cascais  2750-341,"Cascais, Lisboa, Portugal","(38.72240025, -9.396909171649877, 0.0)",,,Portugal
Pilar de la Horadada,030191,Pilar de la Horadada 030191,"Polideportivo Pilar de la Horadada, Pilar de la Horadada, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, España","(37.868107800000004, -0.7815055385596714, 0.0)",,Comunitat Valenciana,España
LA ENVIA . VICAR,04727,LA ENVIA . VICAR 04727,,,,,
Lisboa,1250-068,Lisboa 1250-068,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
COSTA TEGUISE,35508,COSTA TEGUISE 35508,"Costa Teguise, Teguise, Las Palmas, Canarias, 35508, España","(28.9959062, -13.4971609, 0.0)",,,España
Esgueira ,3800-125ESGUEIRA-AVEIRO,Esgueira  3800-125ESGUEIRA-AVEIRO,,,,,
Hernán Cortes,06412,Hernán Cortes 06412,"Hernán Cortés - Ciril Amorós, Carrer d'Hernán Cortés, el Pla del Remei, l'Eixample, Comarca de València, València / Valencia, Comunitat Valenciana, 46004, España","(39.4671035, -0.3706689, 0.0)",,Comunitat Valenciana,España
Dicastillo,31263,Dicastillo 31263,"Dicastillo (III) / Deikaztelu (III), Dicastillo, Navarra - Nafarroa, España","(42.5938563, -2.0314986, 0.0)",,Navarra - Nafarroa,España
Lisboa,1990-073 Lisboa,Lisboa 1990-073 Lisboa,"Cortina, Passeio de Ulisses, Parque das Nações, Lisboa, 1990-073, Portugal","(38.7615973, -9.09583020651235, 0.0)",Lisboa,,Portugal
Colonia Sant Pere,07579,Colonia Sant Pere 07579,"Carrer Major de la Colònia, Colònia de Sant Pere, Artà, Llevant, Illes Balears, 07579, España","(39.7355318, 3.2804286, 0.0)",Artà,Illes Balears,España
lisboa,1885-074,lisboa 1885-074,,,,,
Vila Nova de Gaia,4400-088,Vila Nova de Gaia 4400-088,"Vila Nova de Gaia, Porto, Portugal","(41.1300103, -8.6058415, 0.0)",Vila Nova de Gaia,,Portugal
Leon,2401p,Leon 2401p,,,,,
trigueros,21620,trigueros 21620,"Trigueros, Torreiglesias, Segovia, Castilla y León, 40351, España","(41.1473983, -4.0663694, 0.0)",,Castilla y León,España
Porto do Son,15970,Porto do Son 15970,"Porto do Son, Noia, A Coruña, Galicia, 15970, España","(42.726023, -9.0049123, 0.0)",,Galicia,España
Porto ,4200-007,Porto  4200-007,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Porto ,4000-455,Porto  4000-455,"Marconi, Via Guglielmo Marconi, Marconi, Saragozza-Porto, Bologna, Emilia-Romagna, 40100, Italia","(44.49809875, 11.338151299999998, 0.0)",Bologna,Emilia-Romagna,Italia
lisboa ,1800-125,lisboa  1800-125,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
la Herradura Almuñecar,18697,la Herradura Almuñecar 18697,"La Herradura, Almuñécar, Comarca de la Costa Granadina, Granada, Andalucía, 18697, España","(36.7345524, -3.7379332, 0.0)",,Andalucía,España
ÉVORA,7000-691,ÉVORA 7000-691,"Évora, Portugal","(38.5707742, -7.9092808, 0.0)",Évora,,Portugal
london,N113FS,london N113FS,,,,,
Barakaldo,4890q,Barakaldo 4890q,,,,,
LiYang City,213331,LiYang City 213331,,,,,
0000000000,00000000000,0000000000 00000000000,,,,,
La azohia Cartagena,30868,La azohia Cartagena 30868,"La Azohía, Estanco, RM-E35, La Chapineta, La Azohía, Diputación de Perín, Cartagena, Campo de Cartagena y Mar Menor, Región de Murcia, 30868, España","(37.5616119, -1.1721767, 0.0)",Cartagena,Región de Murcia,España
Pozoseco,16212,Pozoseco 16212,"Pozoseco, Pozorrubielos de la Mancha, Cuenca, Castilla-La Mancha, España","(39.4942854, -1.9721987704620245, 0.0)",Pozorrubielos de la Mancha,Castilla-La Mancha,España
San Cristóbal de La Laguna,38207,San Cristóbal de La Laguna 38207,"San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canarias, España","(28.4857715, -16.3159422, 0.0)",San Cristóbal de La Laguna,,España
L’Hospitalet de Llobregat ,08906,L’Hospitalet de Llobregat  08906,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Montijo ,2870-312,Montijo  2870-312,"Montijo, Montijo e Afonsoeiro, Montijo, Setúbal, Portugal","(38.7057119, -9.003097722875136, 0.0)",Montijo e Afonsoeiro,,Portugal
ORTIGOSA DEL MONTE,40421,ORTIGOSA DEL MONTE 40421,"Ortigosa del Monte, Segovia, Castilla y León, España","(40.8426482, -4.1750006, 0.0)",Ortigosa del Monte,Castilla y León,España
maia,4470-605,maia 4470-605,"Cidade da Maia, Maia, Porto, Portugal","(41.232208, -8.6273183, 0.0)",Cidade da Maia,,Portugal
Matagorda,04715,Matagorda 04715,"Matagorda, Tías, Las Palmas, Canarias, 35519, España","(28.933779, -13.6155101, 0.0)",,,España
Calvão,3840-061,Calvão 3840-061,,,,,
Setubal,2900-694,Setubal 2900-694,"Setúbal, Portugal","(38.5241783, -8.8932341, 0.0)",Setúbal,,Portugal
Coimbra,3030-218,Coimbra 3030-218,"Coimbra, Portugal","(40.2111931, -8.4294632, 0.0)",Coimbra,,Portugal
Lisboa,1800-079,Lisboa 1800-079,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Ermesinde,4445-580,Ermesinde 4445-580,"Ermesinde, Valongo, Porto, Portugal","(41.2170785, -8.5515798, 0.0)",Ermesinde,,Portugal
Tondela,3460-071,Tondela 3460-071,"Tondela, Viseu, Portugal","(40.51406505, -8.079728015302772, 0.0)",,,Portugal
Amadora,2700253,Amadora 2700253,"Amadora, Venteira, Amadora, Lisboa, 2700-160, Portugal","(38.758959, -9.2365233, 0.0)",Amadora,,Portugal
LANZAROTE,35508,LANZAROTE 35508,"Lanzarote, Calle Las Acacias, Costa Teguise, Teguise, Las Palmas, Canarias, 35508, España","(29.0021004, -13.487837047498267, 0.0)",,,España
Setúbal ,2900-495,Setúbal  2900-495,"Setúbal, Portugal","(38.5241783, -8.8932341, 0.0)",Setúbal,,Portugal
Amora,2845-122,Amora 2845-122,"Amora, Seixal, Setúbal, Portugal","(38.6297097, -9.1160023, 0.0)",Amora,,Portugal
LA BAZANA,06389,LA BAZANA 06389,,,,,
Porto,4200-073,Porto 4200-073,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Lisboa,1049-058,Lisboa 1049-058,,,,,
Navas de Jorquera ,02246,Navas de Jorquera  02246,"Navas de Jorquera, Albacete, Castilla-La Mancha, España","(39.2799099, -1.7184266, 0.0)",,Castilla-La Mancha,España
Castelo Branco,6000-260,Castelo Branco 6000-260,"Castelo Branco, Portugal","(39.8266322, -7.4919318, 0.0)",Castelo Branco,,Portugal
Olhão,8700-226,Olhão 8700-226,"Olhão, Faro, Portugal","(37.0270369, -7.8411287, 0.0)",Olhão,,Portugal
Lisboa,2635-193RiodeMouro,Lisboa 2635-193RiodeMouro,,,,,
Santa Iria da Azóia,2690-519 ,Santa Iria da Azóia 2690-519 ,"Santa Iria, Rua Horta dos Barcelos, Santa Iria de Azoia, São João da Talha e Bobadela, Loures, Lisboa, 2690-355, Portugal","(38.839988250000005, -9.080643240289254, 0.0)",Loures,,Portugal
VILA REAL,5000-446,VILA REAL 5000-446,"Vila Real, Portugal","(41.3021183, -7.744898, 0.0)",Vila Real,,Portugal
BENAVENTE,2130-037,BENAVENTE 2130-037,"Benavente, Samora Correia, Benavente, Santarém, Portugal","(38.9128592, -8.898508430205744, 0.0)",Samora Correia,,Portugal
Porto,4150-310 Porto,Porto 4150-310 Porto,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Barra de mira,3070-702 praia de mira,Barra de mira 3070-702 praia de mira,"Barra de Mira, Praia de Mira, Mira, Coimbra, 3070-815, Portugal","(40.4886109, -8.7831764, 0.0)",,,Portugal
Orihuela,03322,Orihuela 03322,"Orihuela, Alarcón, Cuenca, Castilla-La Mancha, 16214, España","(39.5601385, -2.0792403, 0.0)",,Castilla-La Mancha,España
Algueirão- Mem-Martins,2725-079,Algueirão- Mem-Martins 2725-079,"Algueirão, Sintra, Lisboa, 2725-302, Portugal","(38.8023512, -9.3418438, 0.0)",,,Portugal
Lisboa,1549-004,Lisboa 1549-004,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
PORTO,4050-317,PORTO 4050-317,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Fuengirola,290640,Fuengirola 290640,"Fuengirola, Costa del Sol Occidental, Málaga, Andalucía, España","(36.5387779, -4.6233348, 0.0)",,Andalucía,España
MIRANDILLA,06891,MIRANDILLA 06891,,,,,
MOSCAVIDE,1885-093,MOSCAVIDE 1885-093,,,,,
Hospitales de Llobregat,08906,Hospitales de Llobregat 08906,,,,,
Casal Torteiro,2350-483,Casal Torteiro 2350-483,,,,,
São Domingos de Rana,2785-289,São Domingos de Rana 2785-289,"São Domingos de Rana, Cascais, Lisboa, Portugal","(38.7015666, -9.3417434, 0.0)",,,Portugal
Vialonga,2625-575,Vialonga 2625-575,"Vialonga, Vila Franca de Xira, Lisboa, Portugal","(38.8735511, -9.0785504, 0.0)",,,Portugal
Cortegaça,3885-316 Cortegaça,Cortegaça 3885-316 Cortegaça,"Cortegaça, Arouca, Covelo de Paivó e Janarde, Aveiro, Portugal","(40.9083979, -8.129673972201514, 0.0)",Covelo de Paivó e Janarde,,Portugal
San Cristóbal de La Laguna,38208,San Cristóbal de La Laguna 38208,"San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canarias, España","(28.4857715, -16.3159422, 0.0)",San Cristóbal de La Laguna,,España
areeiro,1900036,areeiro 1900036,"Areeiro, Fontinhas, Praia da Vitória, Açores, 9760-525, Portugal","(38.7339611, -27.0870689, 0.0)",,,Portugal
Porto,4250-415,Porto 4250-415,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Zamora ,49012,Zamora  49012,"Zamora, Castilla y León, España","(41.5056574, -5.7448039, 0.0)",Zamora,Castilla y León,España
Agueda,3750-167,Agueda 3750-167,"Águeda, Aveiro, Portugal","(40.5785006, -8.4438017, 0.0)",Águeda,,Portugal
San Francisco,94114,San Francisco 94114,"San-Francisco-Straße, Quartier Überseequartier, HafenCity, Hamburg-Mitte, Hamburg, 20457, Deutschland","(53.5391718, 9.9981349, 0.0)",Hamburg,Hamburg,Deutschland
Dublin,Dublin4,Dublin Dublin4,,,,,
SANTAELLA,14546,SANTAELLA 14546,"Santaella, Ribera Baja, Puente Genil, Córdoba, Andalucía, 14500, España","(37.393321, -4.7671636, 0.0)",,Andalucía,España
Lisboa,1990-077,Lisboa 1990-077,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Estivella,46590,Estivella 46590,"Estivella, el Camp de Morvedre, València / Valencia, Comunitat Valenciana, España","(39.7133707, -0.3485272, 0.0)",,Comunitat Valenciana,España
San Pedro Manrique,42174,San Pedro Manrique 42174,"San Pedro Manrique, Castilla y León, España","(42.029187, -2.229759, 0.0)",,Castilla y León,España
Alcobaça,2460-392,Alcobaça 2460-392,"Alcobaça, Leiria, Portugal","(39.5519199, -8.9763396, 0.0)",Alcobaça,,Portugal
Ourém,2490-529,Ourém 2490-529,"Ourém, Santarém, Portugal","(39.65679, -8.57963, 0.0)",Ourém,,Portugal
Leiria,2400-441,Leiria 2400-441,"Leiria, Portugal","(39.80105605, -8.770257986372755, 0.0)",,,Portugal
Porto,4200-219,Porto 4200-219,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Barcelos,4750-430 Creixomil,Barcelos 4750-430 Creixomil,"Creixomil, Barcelos, Braga, 4750-853, Portugal","(41.5392384, -8.6785934, 0.0)",,,Portugal
Coimbra,3000-137,Coimbra 3000-137,"Coimbra, Portugal","(40.2111931, -8.4294632, 0.0)",Coimbra,,Portugal
São Pedro do Sul ,3660-032,São Pedro do Sul  3660-032,,,,,
Los Guadalperales,06713,Los Guadalperales 06713,"Los Guadalperales, Badajoz, Extremadura, España","(39.084263, -5.6256773, 0.0)",,Extremadura,España
Vila Nova de Gaia,4430-194,Vila Nova de Gaia 4430-194,"Vila Nova de Gaia, Porto, Portugal","(41.1300103, -8.6058415, 0.0)",Vila Nova de Gaia,,Portugal
Cerezo de Arriba,40592,Cerezo de Arriba 40592,"Cerezo de Arriba, Segovia, Castilla y León, España","(41.2386315, -3.558266, 0.0)",,Castilla y León,España
Tavira,8800-688,Tavira 8800-688,"Tavira, Faro, Portugal","(37.1262493, -7.6499121, 0.0)",Tavira,,Portugal
La Herradura ,18697,La Herradura  18697,"La Herradura, Almuñécar, Comarca de la Costa Granadina, Granada, Andalucía, 18697, España","(36.7345524, -3.7379332, 0.0)",,Andalucía,España
Solana De Los Barros,06209,Solana De Los Barros 06209,"De Acehuchal a Arroyo de San Serván por Solana de los Barros, Solana de los Barros, Tierra de Barros, Badajoz, Extremadura, España","(38.7925393, -6.4976271, 0.0)",,Extremadura,España
Porto,4000-266,Porto 4000-266,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Lisboa,1600042,Lisboa 1600042,"Lisboa, 1100-148, Portugal","(38.7077507, -9.1365919, 0.0)",Lisboa,,Portugal
El Pinar,38914,El Pinar 38914,"El Pinar de El Hierro, Santa Cruz de Tenerife, Canarias, España","(27.68504425, -18.001635643741167, 0.0)",El Pinar de El Hierro,,España
Sevilla,41908,Sevilla 41908,"Sevilla, Facinas, Tarifa, Campo de Gibraltar, Cádiz, Andalucía, 11380, España","(36.1435644, -5.6998468, 0.0)",,Andalucía,España
Alfena,4445-085,Alfena 4445-085,"Alfena, Valongo, Porto, Portugal","(41.237635, -8.5277489, 0.0)",Alfena,,Portugal
Badalona,O8917,Badalona O8917,,,,,
Porto,4000-112,Porto 4000-112,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Lisboa,1750-147,Lisboa 1750-147,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Bournemouth,BH26DT,Bournemouth BH26DT,,,,,
Naredo de Fenar,24839,Naredo de Fenar 24839,"Naredo de Fenar, Robles de la Valcueva, Matallana de Torío, León, Castilla y León, España","(42.8280711, -5.5242381, 0.0)",Matallana de Torío,Castilla y León,España
Amadora ,2614-519,Amadora  2614-519,,,,,
PORTO,4050-350Porto,PORTO 4050-350Porto,,,,,
Lisboa,1150-287,Lisboa 1150-287,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Rio Maior,2040-133,Rio Maior 2040-133,"Rio Maior, Santarém, Portugal","(39.350401950000006, -8.911176402248575, 0.0)",,,Portugal
Leeds,LS64PJ,Leeds LS64PJ,,,,,
Aldeias de Montoito,7200-051Montoito,Aldeias de Montoito 7200-051Montoito,,,,,
LAS PALMAS DE GRAN CANARIA,35005,LAS PALMAS DE GRAN CANARIA 35005,"Las Palmas de Gran Canaria, Las Palmas, Canarias, España","(28.1288694, -15.4349015, 0.0)",Las Palmas de Gran Canaria,,España
Caparica,2825-182,Caparica 2825-182,"Madan Parque, Caparica e Trafaria, Almada, Setúbal, 2825-182, Portugal","(38.66251095, -9.201765156239802, 0.0)",Almada,,Portugal
Maia,4470-163,Maia 4470-163,"Cidade da Maia, Maia, Porto, Portugal","(41.232208, -8.6273183, 0.0)",Cidade da Maia,,Portugal
Siero,33187,Siero 33187,"Siero, Valle de Sedano, Burgos, Castilla y León, España","(42.7698572, -3.7671992, 0.0)",Valle de Sedano,Castilla y León,España
Agualva ,2735-521,Agualva  2735-521,"Agualva, Agualva-Cacém, Agualva e Mira-Sintra, Sintra, Lisboa, Portugal","(38.7712545, -9.291961378935335, 0.0)",Agualva-Cacém,,Portugal
Santa Cruz de Tenerife,38008,Santa Cruz de Tenerife 38008,"Santa Cruz de Tenerife, Canarias, España","(28.499389700000002, -16.232933464784338, 0.0)",Santa Cruz de Tenerife,,España
Arucas,35411,Arucas 35411,"Arucas, Las Palmas, Canarias, España","(28.1184492, -15.5232237, 0.0)",,,España
Viana do Castelo,4900-458,Viana do Castelo 4900-458,"Viana do Castelo, Portugal","(41.7181408, -8.76372365182443, 0.0)",,,Portugal
São João dos Montes,2600-859,São João dos Montes 2600-859,,,,,
VILLAGARCIA DEL LLANO,16236,VILLAGARCIA DEL LLANO 16236,"Villagarcía del Llano, Cuenca, Castilla-La Mancha, España","(39.3264982, -1.8468439, 0.0)",,Castilla-La Mancha,España
Portimão,8500-299,Portimão 8500-299,"Portimão, Faro, Portugal","(37.19420955, -8.585577395168343, 0.0)",,,Portugal
Porto,4400-094 Vila Nova de Gaia,Porto 4400-094 Vila Nova de Gaia,"Vila Nova de Gaia, Porto, Portugal","(41.1300103, -8.6058415, 0.0)",Vila Nova de Gaia,,Portugal
Lisboa,1200-094,Lisboa 1200-094,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Guimarães,4800-177,Guimarães 4800-177,"Guimarães, Braga, Portugal","(41.4650197, -8.331690269107721, 0.0)",,,Portugal
Barrancos,7230-017,Barrancos 7230-017,"Barrancos, Beja, Portugal","(38.1315902, -6.9779893, 0.0)",,,Portugal
Las Palmas de Gran Canaria,35007,Las Palmas de Gran Canaria 35007,"Las Palmas de Gran Canaria, Las Palmas, Canarias, España","(28.1288694, -15.4349015, 0.0)",Las Palmas de Gran Canaria,,España
Santa Maria feira,4520455,Santa Maria feira 4520455,"Feira, São Miguel do Souto e Mosteirô, Santa Maria da Feira, Aveiro, Portugal","(40.8851037, -8.539371650249787, 0.0)",,,Portugal
La Carihuela/Torremolinos,29629,La Carihuela/Torremolinos 29629,,,,,
Caldas da Rainha,2500-281,Caldas da Rainha 2500-281,"Caldas da Rainha, Leiria, Portugal","(39.4072118, -9.1346004, 0.0)",Caldas da Rainha,,Portugal
Lisbon,1885-074,Lisbon 1885-074,,,,,
Casarabonela,29566,Casarabonela 29566,"Casarabonela, Sierra de las Nieves, Málaga, Andalucía, España","(36.7852106, -4.8430732, 0.0)",,Andalucía,España
Lisboa,1050-047,Lisboa 1050-047,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Vila Viçosa,7160-204,Vila Viçosa 7160-204,"Vila Viçosa, Évora, Portugal","(38.7774063, -7.4166909, 0.0)",,,Portugal
Guimaraes,4835106,Guimaraes 4835106,"Guimarães, Oliveira, São Paio e São Sebastião, Guimarães, Braga, 4810-442, Portugal","(41.4417677, -8.2955712, 0.0)",Guimarães,,Portugal
Madrid,Mf8extra,Madrid Mf8extra,,,,,
Moscow,127566,Moscow 127566,,,,,
Fuengirola,29641,Fuengirola 29641,"Fuengirola, Costa del Sol Occidental, Málaga, Andalucía, España","(36.5387779, -4.6233348, 0.0)",,Andalucía,España
Vila Real,5000-033 Andrães,Vila Real 5000-033 Andrães,"Andrães, Rua do Cruzeiro, Andrães, Vila Real, 5000-033, Portugal","(41.2670189, -7.6890637, 0.0)",Vila Real,,Portugal
Soeborg,2860,Soeborg 2860,,,,,
Vila Nova de Famalicão,4760-855,Vila Nova de Famalicão 4760-855,"Vila Nova de Famalicão, Braga, Portugal","(41.4065175, -8.5187481, 0.0)",Vila Nova de Famalicão,,Portugal
La Orotava ,38311,La Orotava  38311,"La Orotava, Santa Cruz de Tenerife, Canarias, España","(28.3898829, -16.5235692, 0.0)",,,España
Aljustrel,7600-018,Aljustrel 7600-018,"Aljustrel, Beja, Portugal","(37.89032505, -8.196355048795365, 0.0)",,,Portugal
Lisboa,1750-276,Lisboa 1750-276,"LSB-00273/274/275/276, Ciclovia da Avenida Fontes Pereira de Melo, Coração de Jesus, Santo António, Arroios, Lisboa, 1069-095, Portugal","(38.7329153, -9.1449393, 0.0)",Lisboa,,Portugal
2350-631,Torres-Novas,2350-631 Torres-Novas,"Salvador, Torres Novas, Santarém, 2350-434, Portugal","(39.4771551, -8.5229688, 0.0)",Torres Novas,,Portugal
Ekaterinburg,620073,Ekaterinburg 620073,,,,,
Albalat de la Ribera ,46687,Albalat de la Ribera  46687,"Albalat de la Ribera, la Ribera Baixa, València / Valencia, Comunitat Valenciana, 46689, España","(39.2012627, -0.3866468, 0.0)",Albalat de la Ribera,Comunitat Valenciana,España
Lisboa,1600-205,Lisboa 1600-205,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
San Pedro de Ceque ,49628,San Pedro de Ceque  49628,"San Pedro de Ceque, Zamora, Castilla y León, España","(42.0432719, -6.0736153, 0.0)",,Castilla y León,España
Alcover,43461,Alcover 43461,"Alcover, Alt Camp, Tarragona, Catalunya, 43460, España","(41.2629186, 1.1702772, 0.0)",Alcover,Catalunya,España
Portimão,8500-782,Portimão 8500-782,"Portimão, Faro, Portugal","(37.1375808, -8.5368426, 0.0)",Portimão,,Portugal
Alfena (Valongo),4445-245,Alfena (Valongo) 4445-245,"Alfena, Valongo, Porto, Portugal","(41.237635, -8.5277489, 0.0)",Alfena,,Portugal
Araico,09215,Araico 09215,,,,,
Lisboa,2720-413Amadora,Lisboa 2720-413Amadora,,,,,
Porto,4150-146,Porto 4150-146,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Almada,2805-139,Almada 2805-139,"Almada, Setúbal, Portugal","(38.6764302, -9.1649974, 0.0)",Almada,,Portugal
Lisboa,1250-148 Lisboa,Lisboa 1250-148 Lisboa,"Sou Como Tu, Avenida da Liberdade, Coração de Jesus, Santo António, Lisboa, 1250-148, Portugal","(38.7223728, -9.1472007, 0.0)",Lisboa,,Portugal
Aveiro,3810-064,Aveiro 3810-064,"Aveiro, Azurva, Eixo e Eirol, Aveiro, Portugal","(40.6413502, -8.599071901250866, 0.0)",Aveiro,,Portugal
Alcochete,2890-070,Alcochete 2890-070,"Alcochete, Setúbal, Portugal","(38.7560499, -8.9608437, 0.0)",,,Portugal
Évora,7005-422 Évora,Évora 7005-422 Évora,"Évora, Portugal","(38.5707742, -7.9092808, 0.0)",Évora,,Portugal
Tenerife ,38007,Tenerife  38007,"Salud-La Salle, Santa Cruz de Tenerife, Canarias, 38007, España","(28.461857849999994, -16.27080221875, 0.0)",Santa Cruz de Tenerife,,España
Fundão ,6230-483,Fundão  6230-483,"Fundão, Castelo Branco, Portugal","(40.12503595, -7.511101717217624, 0.0)",,,Portugal
