city,zipcode,query,location,coords,city_y,state,country
Leganés,29815,Leganés 29815,"Leganés, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28912, España","(40.3281942, -3.76527, 0.0)",Leganés,Comunidad de Madrid,España
VILLAMINAYA,45440,VILLAMINAYA 45440,"Villaminaya, Montes de Toledo, Toledo, Castilla-La Mancha, España","(39.7114161, -3.8711454, 0.0)",,Castilla-La Mancha,España
Villamiel,10893,Villamiel 10893,"Villamiel, Sierra de Gata, Cáceres, Extremadura, 10893, España","(40.1870837, -6.7837201, 0.0)",,Extremadura,España
L'Hospitalet de Llobregat,08906,L'Hospitalet de Llobregat 08906,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Guadalupe,30107,Guadalupe 30107,"Guadalupe, A-7, Agridulce, Guadalupe de Maciascoque, Pedanía de Guadalupe, Murcia, Área Metropolitana de Murcia, Región de Murcia, 30107, España","(38.003085, -1.1730484, 0.0)",Murcia,Región de Murcia,España
l'Hospitalet de Llobregat,08901,l'Hospitalet de Llobregat 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Fuente Victoria,04479,Fuente Victoria 04479,"Fuente, Larra ibilbidea/Paseo de la Larra, Armentia, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01007, España","(42.8322221, -2.7030389, 0.0)",Vitoria-Gasteiz,Euskadi,España
Puebla de la calzada,06490,Puebla de la calzada 06490,"Puebla de la Calzada, Badajoz, Extremadura, España","(38.8936017, -6.6261713, 0.0)",,Extremadura,España
Valle de Santa Ana,06178,Valle de Santa Ana 06178,,,,,
BERLANGA,06930,BERLANGA 06930,,,,,
Ledaña,16237,Ledaña 16237,"Ledaña, Cuenca, Castilla-La Mancha, España","(39.3561864, -1.715765, 0.0)",,Castilla-La Mancha,España
Ibiza,07813,Ibiza 07813,,,,,
Arrieta ,48114,Arrieta  48114,"Arrieta, Arce/Artzi, Pirinioaurrea / Prepirineo, Navarra - Nafarroa, España","(42.9239692, -1.3745854, 0.0)",Arce/Artzi,Navarra - Nafarroa,España
Cádiz,11008,Cádiz 11008,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
Lisboa,2725-476,Lisboa 2725-476,"Bicicletas Gira Estação 476, Alameda da Universidade, Campo Grande, Alvalade, Lisboa, 1600-063, Portugal","(38.7522864, -9.158889, 0.0)",Lisboa,,Portugal
Lisboa,1100-150,Lisboa 1100-150,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Ponta Delgada,9500-508,Ponta Delgada 9500-508,"Ponta Delgada, Ponta Delgada (São José), Ponta Delgada, Açores, Portugal","(37.74769635, -25.67269695415345, 0.0)",Ponta Delgada,,Portugal
Algés,1495-240,Algés 1495-240,"Algés, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa, Portugal","(38.705234950000005, -9.228878991510486, 0.0)","Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",,Portugal
Hospitalet de llobregat,08901,Hospitalet de llobregat 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Madrid,284000,Madrid 284000,"Madrid, El Álamo, Comarca Sur, Comunidad de Madrid, 28607, España","(40.232844, -3.9814541, 0.0)",,Comunidad de Madrid,España
Polinyà,O8213,Polinyà O8213,,,,,
Malpica de tajo,45692,Malpica de tajo 45692,"Calle de Malpica, Bernúy, Malpica de Tajo, Torrijos, Toledo, Castilla-La Mancha, 45693, España","(39.9218515, -4.5980905, 0.0)",,Castilla-La Mancha,España
Lisboa,1250-050,Lisboa 1250-050,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Sierro,04878,Sierro 04878,,,,,
Berlanga,06930,Berlanga 06930,,,,,
La Horcajada,05695,La Horcajada 05695,,,,,
Amadora,2700-625,Amadora 2700-625,"Amadora, Venteira, Amadora, Lisboa, 2700-160, Portugal","(38.758959, -9.2365233, 0.0)",Amadora,,Portugal
Pantano de Gabriel y Galan,10712,Pantano de Gabriel y Galan 10712,"Pantano de Gabriel y Galán, Guijo de Granadilla, Trasierra-Tierras de Granadilla, Cáceres, Extremadura, España","(40.2209247, -6.1260859, 0.0)",,Extremadura,España
CIGUENZA-VILLARCAYO,09556,CIGUENZA-VILLARCAYO 09556,,,,,
BENILLOBA,03810,BENILLOBA 03810,"Benilloba, el Comtat, Alacant / Alicante, Comunitat Valenciana, España","(38.700229, -0.3898506, 0.0)",,Comunitat Valenciana,España
Ador (Gandía),46729,Ador (Gandía) 46729,"Carrer Ador, el Raval, El·líptica - República Argentina, Gandia, la Safor, València / Valencia, Comunitat Valenciana, 46702, España","(38.9645794, -0.1837519, 0.0)",,Comunitat Valenciana,España
Hinojosa del Valle,06226,Hinojosa del Valle 06226,"Cementerio Municipal de Hinojosa del Valle, Hinojosa del Valle, Tierra de Barros, Badajoz, Extremadura, España","(38.49157385, -6.18897155179234, 0.0)",,Extremadura,España
