zipcode,location,coords,city,state,country
46132,"Almàssera, l'Horta Nord, València / Valencia, Comunitat Valenciana, 46132, España","(39.51349536842105, -0.35775169761116904, 0.0)",,Comunitat Valenciana,España
21110,"Varanges, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21110, France","(47.22130702210525, 5.1995018704942755, 0.0)",,Bourgogne-Franche-Comté,France
39764,"Voto, Trasmiera, Cantabria, 39764, España","(43.35969533333333, -3.506471473831376, 0.0)",Voto,Cantabria,España
47004,"La Victoria, Valladolid, Castilla y León, 47004, España","(41.665560601477424, -4.732244642485921, 0.0)",Valladolid,Castilla y León,España
08924,"Santa Coloma de Gramenet, Barcelonès, Barcelona, Catalunya, 08924, España","(41.46040282851367, 2.203245886865613, 0.0)",Santa Coloma de Gramenet,Catalunya,España
37001,"Centro, Salamanca, Castilla y León, 37001, España","(40.96413387530626, -5.660571723220803, 0.0)",Salamanca,Castilla y León,España
39608,"Camargo, Santander, Cantabria, 39608, España","(43.42940968333334, -3.8786392919986743, 0.0)",,Cantabria,España
46149,"Sterkrade, Oberhausen, Nordrhein-Westfalen, 46149, Deutschland","(51.51360251630148, 6.833655803488388, 0.0)",Oberhausen,Nordrhein-Westfalen,Deutschland
02100,"Saint-Quentin, Aisne, Hauts-de-France, France métropolitaine, 02100, France","(49.85287909389438, 3.2901026326847242, 0.0)",,Hauts-de-France,France
16440,"Roullet-Saint-Estèphe, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16440, France","(45.59205013870969, 0.055802167820444476, 0.0)",Roullet-Saint-Estèphe,Nouvelle-Aquitaine,France
48170,"Châteauneuf-de-Randon, Mende, Lozère, Occitanie, France métropolitaine, 48170, France","(44.633101972222214, 3.694681008156406, 0.0)",,Occitanie,France
46117,"Osterfeld, Oberhausen, Nordrhein-Westfalen, 46117, Deutschland","(51.502374983449634, 6.8857021931591795, 0.0)",Oberhausen,Nordrhein-Westfalen,Deutschland
13332,"13332, vertical, Comero, Casto, Comunità montana della Valle Sabbia, Brescia, Lombardia, Italia","(45.7108744, 10.3108849, 0.0)",,Lombardia,Italia
24404,"Maasholm, Geltinger Bucht, Schleswig-Flensburg, Schleswig-Holstein, 24404, Deutschland","(54.69340781498316, 9.995623905945495, 0.0)",,Schleswig-Holstein,Deutschland
03190,"Givarlais, Haut-Bocage, Montluçon, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03190, France","(46.467271888015645, 2.6442398316327753, 0.0)",Haut-Bocage,Auvergne-Rhône-Alpes,France
46420,"Sueca, la Ribera Baixa, València / Valencia, Comunitat Valenciana, 46420, España","(39.273677899999996, -0.27484967721568593, 0.0)",,Comunitat Valenciana,España
05270,"El Tiemblo, Ávila, Castilla y León, 05270, España","(40.407268875, -4.488921130595916, 0.0)",,Castilla y León,España
04621,"Vera, Almería, Andalucía, 04621, España","(37.21444856357142, -1.8122486995478921, 0.0)",,Andalucía,España
21760,"Lamarche-sur-Saône, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21760, France","(47.27179021666666, 5.3849568925271605, 0.0)",,Bourgogne-Franche-Comté,France
33440,"Ambarès-et-Lagrave, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33440, France","(44.91755956833333, -0.4834203100251714, 0.0)",,Nouvelle-Aquitaine,France
31600,"Muret, Haute-Garonne, Occitanie, France métropolitaine, 31600, France","(43.45347126813722, 1.3015774596072274, 0.0)",,Occitanie,France
18658,"El Valle, Comarca del Valle de Lecrín, Granada, Andalucía, 18658, España","(36.922596399999996, -3.57635184, 0.0)",El Valle,Andalucía,España
11403,"Jerez de la Frontera, Campiña de Jerez, Cádiz, Andalucía, 11403, España","(36.682754568750006, -6.13822888358895, 0.0)",Jerez de la Frontera,Andalucía,España
02636,,,,,
47002,"Plaza España, Valladolid, Castilla y León, 47002, España","(41.65067782333334, -4.7222834835070016, 0.0)",Valladolid,Castilla y León,España
50100,"Cherbourg-Octeville, Cherbourg-en-Cotentin, Cherbourg, Manche, Normandie, France métropolitaine, 50100, France","(49.638304600231336, -1.6191262022577586, 0.0)",Cherbourg-en-Cotentin,Normandie,France
